Time (s),ADC Value,Duty Cyle %
1764966861.9562805,564,55.13196480938416
1764966862.7502022,562,54.936461388074285
1764966863.54275,563,55.03421309872923
1764966864.3412926,563,55.03421309872923
1764966865.1348407,564,55.13196480938416
1764966865.928223,564,55.13196480938416
1764966866.7271683,565,55.2297165200391
1764966867.5207517,565,55.2297165200391
1764966868.3138108,562,54.936461388074285
1764966869.1080973,563,55.03421309872923
1764966869.905994,584,57.0869990224829
1764966870.6992586,563,55.03421309872923
1764966871.4933,318,31.085043988269796
1764966872.2879183,177,17.302052785923753
1764966873.0830226,179,17.49755620723363
1764966873.8765702,176,17.20430107526882
1764966874.6731143,228,22.287390029325515
1764966875.4726615,246,24.04692082111437
1764966876.2670188,165,16.129032258064516
1764966877.0601268,192,18.7683284457478
1764966877.8550131,192,18.7683284457478
1764966878.6486,181,17.6930596285435
1764966879.4419672,197,19.257086999022484
1764966880.237182,188,18.377321603128056
1764966881.0365775,194,18.963831867057674
1764966881.831144,173,16.91104594330401
1764966882.6258495,175,17.10654936461388
1764966883.419749,175,17.10654936461388
1764966884.2132955,176,17.20430107526882
1764966885.006842,176,17.20430107526882
1764966885.802387,176,17.20430107526882
1764966886.5958915,176,17.20430107526882
1764966887.3962836,150,14.662756598240467
1764966888.1911366,167,16.32453567937439
1764966888.9851358,153,14.956011730205276
1764966889.7786145,153,14.956011730205276
1764966890.5722315,164,16.03128054740958
1764966891.3653264,138,13.48973607038123
1764966892.160878,185,18.084066471163247
1764966892.96199,567,55.42521994134897
1764966893.7535384,567,55.42521994134897
1764966894.5470843,635,62.07233626588465
1764966894.9498556,636,62.17008797653959
1764966895.346627,638,62.365591397849464
1764966896.140174,638,62.365591397849464
1764966896.9336119,634,61.97458455522972
1764966897.7271857,629,61.48582600195503
1764966898.5240254,625,61.09481915933529
1764966899.3171937,580,56.69599217986314
1764966900.1111739,615,60.11730205278592
1764966900.9113421,637,62.267839687194524
1764966901.705065,637,62.267839687194524
1764966902.498156,524,51.2218963831867
1764966903.2901888,608,59.43304007820137
1764966904.0887334,546,53.3724340175953
1764966904.883279,611,59.72629521016618
1764966905.6760583,527,51.515151515151516
1764966906.4701946,552,53.95894428152492
1764966907.2686996,607,59.33528836754643
1764966908.0626295,567,55.42521994134897
1764966908.8565161,581,56.79374389051809
1764966909.6493306,470,45.94330400782014
1764966910.4481509,605,59.13978494623656
1764966911.2398953,599,58.55327468230694
1764966912.0391862,511,49.951124144672534
1764966912.8327563,511,49.951124144672534
1764966913.6259682,453,44.281524926686224
1764966914.4245148,597,58.35777126099706
1764966915.2160594,597,58.35777126099706
1764966916.0106406,622,60.80156402737048
1764966916.8103004,624,60.997067448680355
1764966917.6039076,624,60.997067448680355
1764966918.397144,624,60.997067448680355
1764966919.1902137,623,60.899315738025415
1764966919.9877586,623,60.899315738025415
1764966920.7813046,624,60.997067448680355
1764966921.5748515,602,58.846529814271754
1764966922.3743951,879,85.92375366568915
1764966923.229907,1023,100.0
1764966923.9604886,300,29.325513196480934
1764966924.815,1023,100.0
1764966925.6105459,1023,100.0
1764966926.405091,1023,100.0
1764966927.1996398,1023,100.0
1764966927.9951837,1023,100.0
1764966928.789731,1018,99.51124144672532
1764966929.5842774,1016,99.31573802541544
1764966930.3858175,1021,99.80449657869012
1764966931.1733663,1018,99.51124144672532
1764966931.9699113,1023,100.0
1764966932.7654579,1023,100.0
